packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
72,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-80,,,515049676837,1743180129.401744,2025-03-28 18:42:09.401744
73,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-79,,,515049779237,1743180129.4530125,2025-03-28 18:42:09.453012
74,66,,,46:cf:b3:b8:9f:48,0x001d,1,6,60,5300,5,False,False,-97,,,,1743180129.8548872,2025-03-28 18:42:09.854887
75,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1051714764837,1743180130.2736387,2025-03-28 18:42:10.273639
76,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-89,,,6673639014405,1743180130.2914314,2025-03-28 18:42:10.291431
77,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1051714764837,1743180130.3249252,2025-03-28 18:42:10.324925
78,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1051714867237,1743180130.3762426,2025-03-28 18:42:10.376243
79,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-87,,,6673639116811,1743180130.394013,2025-03-28 18:42:10.394013
80,72,,30:b1:b5:86:71:aa,70:97:41:04:3c:45,0x001b,1,6,100,5500,5,False,False,-92,,,,1743180130.3988702,2025-03-28 18:42:10.398870
81,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1051714867237,1743180130.4273267,2025-03-28 18:42:10.427327
82,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1051714969637,1743180130.4787347,2025-03-28 18:42:10.478735
83,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-87,,,6673639219447,1743180130.4966357,2025-03-28 18:42:10.496636
