packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
105,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-88,,,4245299595,1742833058.795047,2025-03-24 18:17:38.795047
106,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400081817992,1742833058.864909,2025-03-24 18:17:38.864909
107,82,34:36:54:d4:79:03,34:c9:3d:d1:0a:33,34:36:54:d4:79:03,0x002c,2,6,1,2412,6,False,False,-81,,,,1742833058.866083,2025-03-24 18:17:38.866083
108,66,,,34:c9:3d:d1:0a:33,0x001d,1,6,1,2412,6,False,False,-28,,,,1742833058.866107,2025-03-24 18:17:38.866107
109,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-87,,,4245401994,1742833058.897522,2025-03-24 18:17:38.897522
110,66,,,26:29:06:53:94:66,0x001d,1,1,1,2412,4,False,False,-88,,,,1742833058.930027,2025-03-24 18:17:38.930027
111,66,,,f6:16:de:43:81:3d,0x001d,1,1,1,2412,4,False,False,-88,,,,1742833058.950821,2025-03-24 18:17:38.950821
112,94,34:36:54:d4:79:03,c4:82:e1:1e:ea:78,34:36:54:d4:79:03,0x000b,0,1,1,2412,4,False,False,-79,,,,1742833058.962773,2025-03-24 18:17:38.962773
113,66,,,c4:82:e1:1e:ea:78,0x001d,1,1,1,2412,4,False,False,-26,,,,1742833058.962796,2025-03-24 18:17:38.962796
114,94,8c:68:c8:ce:a4:be,c4:82:e1:1e:ea:78,8c:68:c8:ce:a4:be,0x000b,0,1,1,2412,4,False,False,-79,,,,1742833058.963288,2025-03-24 18:17:38.963288
115,94,8c:68:c8:ce:a4:be,c4:82:e1:1e:ea:78,8c:68:c8:ce:a4:be,0x000b,0,1,1,2412,4,True,False,-79,,,,1742833058.964113,2025-03-24 18:17:38.964113
116,86,34:36:54:d4:79:03,34:36:54:d4:79:03,c4:82:e1:1e:ea:78,0x000b,0,1,1,2412,4,False,False,-26,,,,1742833058.965233,2025-03-24 18:17:38.965233
117,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-80,,,,1742833058.965653,2025-03-24 18:17:38.965653
118,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-79,,,,1742833058.966278,2025-03-24 18:17:38.966278
119,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-79,,,,1742833058.966928,2025-03-24 18:17:38.966928
120,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-79,,,,1742833058.967579,2025-03-24 18:17:38.967579
121,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400081923348,1742833058.970272,2025-03-24 18:17:38.970272
122,86,34:36:54:d4:79:03,34:36:54:d4:79:03,c4:82:e1:1e:ea:78,0x000b,0,1,1,2412,4,True,False,-26,,,,1742833058.970737,2025-03-24 18:17:38.970737
123,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-80,,,,1742833058.971384,2025-03-24 18:17:38.971384
124,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-79,,,,1742833058.972271,2025-03-24 18:17:38.972271
125,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-79,,,,1742833058.973111,2025-03-24 18:17:38.973111
126,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-80,,,,1742833058.973274,2025-03-24 18:17:38.973274
127,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-80,,,,1742833058.974198,2025-03-24 18:17:38.974198
128,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-80,,,,1742833058.974894,2025-03-24 18:17:38.974894
129,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-80,,,,1742833058.975596,2025-03-24 18:17:38.975596
130,94,ec:f0:fe:de:31:8a,c4:82:e1:1e:ea:78,ec:f0:fe:de:31:8a,0x000b,0,1,1,2412,4,True,False,-79,,,,1742833058.975891,2025-03-24 18:17:38.975891
131,86,34:36:54:d4:79:03,34:36:54:d4:79:03,c4:82:e1:1e:ea:78,0x000b,0,1,1,2412,4,True,False,-26,,,,1742833058.977027,2025-03-24 18:17:38.977027
132,86,34:36:54:d4:79:03,34:36:54:d4:79:03,c4:82:e1:1e:ea:78,0x000b,0,1,1,2412,4,True,False,-26,,,,1742833058.977311,2025-03-24 18:17:38.977311
133,86,34:36:54:d4:79:03,34:36:54:d4:79:03,c4:82:e1:1e:ea:78,0x000b,0,1,1,2412,4,True,False,-26,,,,1742833058.978111,2025-03-24 18:17:38.978111
134,86,34:36:54:d4:79:03,34:36:54:d4:79:03,c4:82:e1:1e:ea:78,0x000b,0,1,1,2412,4,True,False,-26,,,,1742833058.978409,2025-03-24 18:17:38.978409
135,86,34:36:54:d4:79:03,34:36:54:d4:79:03,c4:82:e1:1e:ea:78,0x000b,0,1,1,2412,4,True,False,-25,,,,1742833058.978961,2025-03-24 18:17:38.978961
136,86,34:36:54:d4:79:03,34:36:54:d4:79:03,c4:82:e1:1e:ea:78,0x000b,0,1,1,2412,4,True,False,-25,,,,1742833058.981872,2025-03-24 18:17:38.981872
