packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
83,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-69,,,1052303257637,1743180718.787667,2025-03-28 18:51:58.787667
84,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6674227507206,1743180718.8078806,2025-03-28 18:51:58.807881
85,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-69,,,1052303257637,1743180718.839103,2025-03-28 18:51:58.839103
86,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303360037,1743180718.8900435,2025-03-28 18:51:58.890043
87,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6674227609606,1743180718.910485,2025-03-28 18:51:58.910485
88,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303360037,1743180718.941116,2025-03-28 18:51:58.941116
89,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303462437,1743180718.9926684,2025-03-28 18:51:58.992668
90,136,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0020,2,6,100,5500,5,False,False,-70,,,,1743180718.9926982,2025-03-28 18:51:58.992698
91,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6674227712006,1743180719.0128007,2025-03-28 18:51:59.012801
92,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303462437,1743180719.0435505,2025-03-28 18:51:59.043550
93,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-71,,,1052303564837,1743180719.0948586,2025-03-28 18:51:59.094859
94,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-85,,,6674227814411,1743180719.1151154,2025-03-28 18:51:59.115115
95,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303564837,1743180719.145886,2025-03-28 18:51:59.145886
96,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303667237,1743180719.197278,2025-03-28 18:51:59.197278
97,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-85,,,6674227916807,1743180719.217855,2025-03-28 18:51:59.217855
98,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303667237,1743180719.2486892,2025-03-28 18:51:59.248689
99,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303769637,1743180719.299672,2025-03-28 18:51:59.299672
100,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6674228019203,1743180719.3199933,2025-03-28 18:51:59.319993
101,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303769637,1743180719.3510008,2025-03-28 18:51:59.351001
102,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-71,,,1052303872037,1743180719.4024725,2025-03-28 18:51:59.402472
103,66,,,42:e2:6c:48:11:1e,0x001d,1,24,100,5500,5,False,False,-71,,,,1743180719.407698,2025-03-28 18:51:59.407698
104,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-85,,,6674228121606,1743180719.4223344,2025-03-28 18:51:59.422334
105,66,,,42:e2:6c:48:11:1e,0x001d,1,24,100,5500,5,False,False,-70,,,,1743180719.4264746,2025-03-28 18:51:59.426475
106,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303872037,1743180719.453544,2025-03-28 18:51:59.453544
107,72,,30:b1:b5:86:71:aa,70:97:41:04:3c:45,0x001b,1,6,100,5500,5,False,False,-91,,,,1743180719.494246,2025-03-28 18:51:59.494246
108,84,,30:b1:b5:86:71:aa,70:97:41:04:3c:45,0x0019,1,24,100,5500,5,False,False,-85,,,,1743180719.4955838,2025-03-28 18:51:59.495584
109,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1052303974437,1743180719.5044634,2025-03-28 18:51:59.504463
110,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6674228224012,1743180719.5246627,2025-03-28 18:51:59.524663
111,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-69,,,1052303974437,1743180719.5554986,2025-03-28 18:51:59.555499
112,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-71,,,1052304076837,1743180719.6072152,2025-03-28 18:51:59.607215
113,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-85,,,6674228326408,1743180719.6274264,2025-03-28 18:51:59.627426
114,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1052304076837,1743180719.6581335,2025-03-28 18:51:59.658134
115,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-75,,,1052304179237,1743180719.7094266,2025-03-28 18:51:59.709427
116,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-85,,,6674228428807,1743180719.7296054,2025-03-28 18:51:59.729605
117,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-75,,,1052304179237,1743180719.7607033,2025-03-28 18:51:59.760703
118,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-77,,,1052304281637,1743180719.811591,2025-03-28 18:51:59.811591
119,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-85,,,6674228531203,1743180719.831935,2025-03-28 18:51:59.831935
120,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1052304281637,1743180719.8631172,2025-03-28 18:51:59.863117
121,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-71,,,1052304384037,1743180719.914446,2025-03-28 18:51:59.914446
122,136,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0020,2,6,100,5500,5,False,False,-71,,,,1743180719.9144745,2025-03-28 18:51:59.914474
