packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
96,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-73,,,,1742818034.3739963,2025-03-24 14:07:14.373996
97,72,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x001b,1,24,1,2412,6,False,False,-72,,,,1742818034.3741183,2025-03-24 14:07:14.374118
98,66,,,06:09:51:6a:a9:b3,0x001c,1,24,1,2412,6,False,False,-30,,,,1742818034.3741221,2025-03-24 14:07:14.374122
99,1239,34:36:54:d4:79:03,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0028,2,65,1,2412,7,False,False,-71,,7,,1742818034.3756952,2025-03-24 14:07:14.375695
100,84,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0019,1,24,1,2412,6,False,False,-30,,,,1742818034.376495,2025-03-24 14:07:14.376495
101,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.37747,2025-03-24 14:07:14.377470
102,866,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3774946,2025-03-24 14:07:14.377495
103,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.3775036,2025-03-24 14:07:14.377504
104,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.3785377,2025-03-24 14:07:14.378538
105,864,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3785622,2025-03-24 14:07:14.378562
106,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.3785703,2025-03-24 14:07:14.378570
107,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.3804588,2025-03-24 14:07:14.380459
108,870,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.3804808,2025-03-24 14:07:14.380481
109,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.3804889,2025-03-24 14:07:14.380489
110,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.3833673,2025-03-24 14:07:14.383367
111,870,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.38339,2025-03-24 14:07:14.383390
112,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.383398,2025-03-24 14:07:14.383398
113,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.3888566,2025-03-24 14:07:14.388857
114,870,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.388882,2025-03-24 14:07:14.388882
115,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.3888898,2025-03-24 14:07:14.388890
116,72,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x001b,1,24,1,2412,6,False,False,-72,,,,1742818034.3934772,2025-03-24 14:07:14.393477
117,66,,,06:09:51:6a:a9:b3,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.3934982,2025-03-24 14:07:14.393498
118,66,,,06:09:51:6a:a9:b3,0x001d,1,24,1,2412,6,False,False,-31,,,,1742818034.393502,2025-03-24 14:07:14.393502
119,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.398271,2025-03-24 14:07:14.398271
120,870,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3982959,2025-03-24 14:07:14.398296
121,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.398304,2025-03-24 14:07:14.398304
122,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-30,,,,1742818034.3984177,2025-03-24 14:07:14.398418
123,211,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.3984332,2025-03-24 14:07:14.398433
124,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-71,,,,1742818034.398528,2025-03-24 14:07:14.398528
125,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.4097843,2025-03-24 14:07:14.409784
126,1306,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-32,,7,,1742818034.409808,2025-03-24 14:07:14.409808
127,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-71,,,,1742818034.4098155,2025-03-24 14:07:14.409816
128,72,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x001b,1,24,1,2412,6,False,False,-71,,,,1742818034.4124455,2025-03-24 14:07:14.412446
129,66,,,06:09:51:6a:a9:b3,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.4124656,2025-03-24 14:07:14.412466
130,84,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0019,1,24,1,2412,6,False,False,-31,,,,1742818034.4127765,2025-03-24 14:07:14.412776
131,66,,,06:09:51:6a:a9:b3,0x001d,1,24,1,2412,6,False,False,-31,,,,1742818034.4129043,2025-03-24 14:07:14.412904
132,72,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x001b,1,24,1,2412,6,False,False,-31,,,,1742818034.412978,2025-03-24 14:07:14.412978
